date,open,high,low,close,volume
2025-11-18,2090.6,2107.0,2080.0,2093.1,2060068.0
2025-11-19,2099.5,2110.0,2089.5,2105.9,2492900.0
2025-11-20,2114.8,2114.8,2093.2,2098.7,7340569.0
2025-11-21,2100.0,2111.5,2078.5,2087.8,7838842.0
2025-11-24,2095.0,2104.0,2077.4,2087.3,4984569.0
2025-11-25,2094.3,2094.3,2066.7,2069.9,3032979.0
2025-11-26,2075.0,2110.0,2074.1,2103.8,2979343.0
2025-11-27,2104.0,2130.5,2091.4,2110.2,4029795.0
2025-11-28,2119.0,2141.8,2102.2,2124.4,3168157.0
2025-12-01,2134.0,2163.0,2128.1,2147.6,3262032.0
2025-12-02,2140.0,2160.0,2139.4,2142.4,3658833.0
2025-12-03,2135.1,2151.7,2119.1,2146.1,2806203.0
2025-12-04,2146.1,2146.8,2121.5,2135.4,2574328.0
2025-12-05,2135.0,2166.0,2132.0,2154.9,1931695.0
2025-12-08,2158.7,2158.9,2126.0,2131.6,2992047.0
2025-12-09,2120.0,2133.4,2108.9,2127.7,3207510.0
2025-12-10,2130.0,2155.5,2123.7,2129.5,2188267.0
2025-12-11,2129.5,2205.0,2119.1,2180.2,4995720.0
2025-12-12,2181.7,2201.0,2174.7,2176.6,2862549.0
2025-12-15,2167.1,2185.6,2156.5,2181.3,2755980.0
2025-12-16,2178.0,2194.0,2171.5,2182.4,1708919.0
2025-12-17,2188.0,2193.2,2163.5,2173.2,1612144.0
2025-12-18,2173.2,2178.9,2159.9,2164.6,1126680.0
2025-12-19,2168.5,2177.5,2156.3,2159.5,2300934.0
2025-12-22,2170.0,2176.0,2147.1,2149.7,1808226.0
2025-12-23,2152.5,2170.9,2149.7,2162.7,1614163.0
2025-12-24,2168.0,2178.2,2161.1,2163.7,1558358.0
2025-12-26,2162.0,2173.6,2152.9,2164.2,738349.0
2025-12-29,2170.6,2181.8,2155.4,2158.6,971796.0
2025-12-30,2159.7,2165.0,2138.9,2152.7,5672138.0
2025-12-31,2158.0,2205.4,2155.7,2201.1,2856889.0
2026-01-01,2210.0,2220.9,2189.0,2217.8,1346975.0
2026-01-02,2217.8,2227.9,2180.5,2195.1,2447694.0
2026-01-05,2196.9,2206.7,2182.0,2190.9,2182849.0
